ProductKey,StandardCost,FinishedGoodsFlag,Color,Weight,SafetyStockLevel,ReorderPoint,ListPrice,SizeRange,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status,ProductName,SubCategory,Category
480,0.8565,TRUE,NA,,4,3,2.29,NA,,,,0,S,1.374,,,Patch kit,"Includes 8 different size patches, glue and sandpaper.",7/1/2003 00:00,,Current,Patch Kit/8 Patches,Tires and Tubes,Accessories
529,1.4923,TRUE,NA,,500,375,3.99,NA,,,,0,R,2.394,,,Road Tire Tube,Conventional all-purpose tube.,7/1/2003 00:00,,Current,Road Tire Tube,Tires and Tubes,Accessories
477,1.8663,TRUE,NA,,4,3,4.99,NA,,,,0,S,2.994,,,Water Bottle,AWC logo water bottle - holds 30 oz; leak-proof.,7/1/2003 00:00,,Current,Water Bottle - 30 oz.,Bottles and Cages,Accessories
528,1.8663,TRUE,NA,,500,375,4.99,NA,,,,0,M,2.994,,,Mountain Tire Tube,Self-sealing tube.,7/1/2003 00:00,,Current,Mountain Tire Tube,Tires and Tubes,Accessories
530,1.8663,TRUE,NA,,500,375,4.99,NA,,,,0,T,2.994,,,Touring Tire Tube,General purpose tube.,7/1/2003 00:00,,Current,Touring Tire Tube,Tires and Tubes,Accessories
484,2.9733,TRUE,NA,,4,3,7.95,NA,,,,0,S,4.77,,,Bike Wash,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",7/1/2003 00:00,,Current,Bike Wash - Dissolver,Cleaners,Accessories
223,5.7052,TRUE,Multi,,4,3,8.6442,NA,,,,0,S,5.1865,,U,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,7/1/2001 00:00,6/30/2002 00:00,,AWC Logo Cap,Caps,Clothing
224,5.2297,TRUE,Multi,,4,3,8.6442,NA,,,,0,S,5.1865,,U,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,7/1/2002 00:00,6/30/2003 00:00,,AWC Logo Cap,Caps,Clothing
479,3.3623,TRUE,NA,,4,3,8.99,NA,,,,0,R,5.394,,,Road Bottle Cage,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,7/1/2003 00:00,,Current,Road Bottle Cage,Bottles and Cages,Accessories
225,6.9223,TRUE,Multi,,4,3,8.99,NA,,,,0,S,5.394,,U,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,7/1/2003 00:00,,Current,AWC Logo Cap,Caps,Clothing
481,3.3623,TRUE,White,,4,3,8.99,M,M,,,0,R,5.394,,U,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",7/1/2003 00:00,,Current,"Racing Socks, M",Socks,Clothing
482,3.3623,TRUE,White,,4,3,8.99,L,L,,,0,R,5.394,,U,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",7/1/2003 00:00,,Current,"Racing Socks, L",Socks,Clothing
218,3.3963,TRUE,White,,4,3,9.5,M,M,,,0,M,5.7,,U,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,7/1/2001 00:00,6/30/2002 00:00,,"Mountain Bike Socks, M",Socks,Clothing
219,3.3963,TRUE,White,,4,3,9.5,L,L,,,0,M,5.7,,U,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,7/1/2001 00:00,6/30/2002 00:00,,"Mountain Bike Socks, L",Socks,Clothing
478,3.7363,TRUE,NA,,4,3,9.99,NA,,,,0,M,5.994,,,Mountain Bottle Cage,Tough aluminum cage holds bottle securly on tough terrain.,7/1/2003 00:00,,Current,Mountain Bottle Cage,Bottles and Cages,Accessories
450,5.7709,TRUE,NA,,4,3,13.99,NA,,,,0,R,8.394,,,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,7/1/2002 00:00,6/30/2003 00:00,,Taillights - Battery-Powered,Lights,Accessories
448,8.2459,TRUE,NA,,4,3,19.99,NA,,,,0,S,11.994,,,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,7/1/2002 00:00,6/30/2003 00:00,,Minipump,Pumps,Accessories
559,8.9866,TRUE,Silver,,500,375,20.24,NA,,,,1,,12.144,,,Chain,Superior shifting performance.,7/1/2003 00:00,,Current,Chain,Chains,Components
538,8.0373,TRUE,NA,,500,375,21.49,NA,,,,0,R,12.894,L,,LL Road Tire,Same great treads as more expensive tire with a less expensive wire bead casing.,7/1/2003 00:00,,Current,LL Road Tire,Tires and Tubes,Accessories
485,8.2205,TRUE,NA,,4,3,21.98,NA,,,,0,M,13.188,,,Fender Set - Mountain,Clip-on fenders fit most mountain bikes.,7/1/2003 00:00,,Current,Fender Set - Mountain,Fenders,Accessories
462,9.7136,TRUE,Black,,4,3,23.5481,S,S,,,0,S,14.1289,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2002 00:00,6/30/2003 00:00,,"Half-Finger Gloves, S",Gloves,Clothing
464,9.7136,TRUE,Black,,4,3,23.5481,M,M,,,0,S,14.1289,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2002 00:00,6/30/2003 00:00,,"Half-Finger Gloves, M",Gloves,Clothing
466,9.7136,TRUE,Black,,4,3,23.5481,L,L,,,0,S,14.1289,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2002 00:00,6/30/2003 00:00,,"Half-Finger Gloves, L",Gloves,Clothing
463,9.1593,TRUE,Black,,4,3,24.49,S,S,,,0,S,14.694,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2003 00:00,,Current,"Half-Finger Gloves, S",Gloves,Clothing
465,9.1593,TRUE,Black,,4,3,24.49,M,M,,,0,S,14.694,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2003 00:00,,Current,"Half-Finger Gloves, M",Gloves,Clothing
467,9.1593,TRUE,Black,,4,3,24.49,L,L,,,0,S,14.694,,U,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",7/1/2003 00:00,,Current,"Half-Finger Gloves, L",Gloves,Clothing
449,10.3084,TRUE,NA,,4,3,24.99,NA,,,,0,M,14.994,,,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,7/1/2002 00:00,6/30/2003 00:00,,Mountain Pump,Pumps,Accessories
535,9.3463,TRUE,NA,,500,375,24.99,NA,,,,0,M,14.994,L,,LL Mountain Tire,"Comparible traction, less expensive wire bead casing.",7/1/2003 00:00,,Current,LL Mountain Tire,Tires and Tubes,Accessories
539,9.3463,TRUE,NA,,500,375,24.99,NA,,,,0,R,14.994,M,,ML Road Tire,Higher density rubber.,7/1/2003 00:00,,Current,ML Road Tire,Tires and Tubes,Accessories
447,10.3125,TRUE,NA,,4,3,25,NA,,,,0,S,15,,,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",7/1/2002 00:00,6/30/2003 00:00,,Cable Lock,Locks,Accessories
515,12.0413,TRUE,NA,,500,375,27.12,NA,,,,1,M,16.272,L,,LL Mountain Seat/Saddle 2,Synthetic leather. Features gel for increased comfort.,7/1/2003 00:00,,Current,LL Mountain Seat/Saddle,Saddles,Components
518,12.0413,TRUE,NA,,500,375,27.12,NA,,,,1,R,16.272,L,,LL Road Seat/Saddle 1,Lightweight foam-padded saddle.,7/1/2003 00:00,,Current,LL Road Seat/Saddle,Saddles,Components
521,12.0413,TRUE,NA,,500,375,27.12,NA,,,,1,T,16.272,L,,LL Touring Seat/Saddle,"Comfortable, ergonomically shaped gel saddle.",7/1/2003 00:00,,Current,LL Touring Seat/Saddle,Saddles,Components
541,10.8423,TRUE,NA,,500,375,28.99,NA,,,,0,T,17.394,,,Touring Tire,High-density rubber.,7/1/2003 00:00,,Current,Touring Tire,Tires and Tubes,Accessories
536,11.2163,TRUE,NA,,500,375,29.99,NA,,,,0,M,17.994,M,,ML Mountain Tire,"Great traction, high-density rubber.",7/1/2003 00:00,,Current,ML Mountain Tire,Tires and Tubes,Accessories
540,12.1924,TRUE,NA,,500,375,32.6,NA,,,,0,R,19.56,H,,HL Road Tire,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,7/1/2003 00:00,,Current,HL Road Tire,Tires and Tubes,Accessories
212,12.0278,TRUE,Red,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2001 00:00,6/30/2002 00:00,,"Sport-100 Helmet, Red",Helmets,Accessories
213,13.8782,TRUE,Red,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2002 00:00,6/30/2003 00:00,,"Sport-100 Helmet, Red",Helmets,Accessories
215,12.0278,TRUE,Black,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2001 00:00,6/30/2002 00:00,,"Sport-100 Helmet, Black",Helmets,Accessories
216,13.8782,TRUE,Black,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2002 00:00,6/30/2003 00:00,,"Sport-100 Helmet, Black",Helmets,Accessories
220,12.0278,TRUE,Blue,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2001 00:00,6/30/2002 00:00,,"Sport-100 Helmet, Blue",Helmets,Accessories
221,13.8782,TRUE,Blue,,4,3,33.6442,NA,,,,0,S,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2002 00:00,6/30/2003 00:00,,"Sport-100 Helmet, Blue",Helmets,Accessories
394,15.1848,TRUE,NA,,500,375,34.2,NA,,,,1,,20.52,L,,LL Headset,Threadless headset provides quality at an economical price.,7/1/2002 00:00,6/30/2003 00:00,,LL Headset,Headsets,Components
214,13.0863,TRUE,Red,,4,3,34.99,NA,,,,0,S,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2003 00:00,,Current,"Sport-100 Helmet, Red",Helmets,Accessories
217,13.0863,TRUE,Black,,4,3,34.99,NA,,,,0,S,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2003 00:00,,Current,"Sport-100 Helmet, Black",Helmets,Accessories
222,13.0863,TRUE,Blue,,4,3,34.99,NA,,,,0,S,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",7/1/2003 00:00,,Current,"Sport-100 Helmet, Blue",Helmets,Accessories
451,14.4334,TRUE,NA,,4,3,34.99,NA,,,,0,R,20.994,,,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,7/1/2002 00:00,6/30/2003 00:00,,Headlights - Dual-Beam,Lights,Accessories
537,13.09,TRUE,NA,,500,375,35,NA,,,,0,M,21,H,,HL Mountain Tire,"Incredible traction, lightweight carbon reinforced.",7/1/2003 00:00,,Current,HL Mountain Tire,Tires and Tubes,Accessories
468,15.6709,TRUE,Black,,4,3,37.99,S,S,,,0,M,22.794,,U,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",7/1/2002 00:00,6/30/2003 00:00,,"Full-Finger Gloves, S",Gloves,Clothing
469,15.6709,TRUE,Black,,4,3,37.99,M,M,,,0,M,22.794,,U,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",7/1/2002 00:00,6/30/2003 00:00,,"Full-Finger Gloves, M",Gloves,Clothing
470,15.6709,TRUE,Black,,4,3,37.99,L,L,,,0,M,22.794,,U,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",7/1/2002 00:00,6/30/2003 00:00,,"Full-Finger Gloves, L",Gloves,Clothing
516,17.3782,TRUE,NA,,500,375,39.14,NA,,,,1,M,23.484,M,,ML Mountain Seat/Saddle 2,Designed to absorb shock.,7/1/2003 00:00,,Current,ML Mountain Seat/Saddle,Saddles,Components
519,17.3782,TRUE,NA,,500,375,39.14,NA,,,,1,T,23.484,M,,ML Road Seat/Saddle 2,Rubber bumpers absorb bumps.,7/1/2003 00:00,,Current,ML Road Seat/Saddle,Saddles,Components
522,17.3782,TRUE,NA,,500,375,39.14,NA,,,,1,T,23.484,M,,ML Touring Seat/Saddle,New design relieves pressure for long rides.,7/1/2003 00:00,,Current,ML Touring Seat/Saddle,Saddles,Components
542,17.9776,TRUE,Silver/Black,218,500,375,40.49,NA,,,G,1,M,24.294,L,,LL Mountain Pedal,Expanded platform so you can ride in any shoes; great for all-around riding.,7/1/2003 00:00,,Current,LL Mountain Pedal,Pedals,Components
545,17.9776,TRUE,Silver/Black,189,500,375,40.49,NA,,,G,1,R,24.294,L,,LL Road Pedal,Clipless pedals - aluminum.,7/1/2003 00:00,,Current,LL Road Pedal,Pedals,Components
397,17.978,TRUE,NA,,500,375,40.4909,NA,,,,1,M,24.2945,L,,LL Mountain Handlebars,All-purpose bar for on or off-road.,7/1/2002 00:00,6/30/2003 00:00,,LL Mountain Handlebars,Handlebars,Components
403,17.978,TRUE,NA,,500,375,40.4909,NA,,,,1,R,24.2945,L,,LL Road Handlebars,Unique shape provides easier reach to the levers.,7/1/2002 00:00,6/30/2003 00:00,,LL Road Handlebars,Handlebars,Components
398,19.7758,TRUE,NA,,500,375,44.54,NA,,,,1,M,26.724,L,,LL Mountain Handlebars,All-purpose bar for on or off-road.,7/1/2003 00:00,,Current,LL Mountain Handlebars,Handlebars,Components
404,19.7758,TRUE,NA,,500,375,44.54,NA,,,,1,R,26.724,L,,LL Road Handlebars,Unique shape provides easier reach to the levers.,7/1/2003 00:00,,Current,LL Road Handlebars,Handlebars,Components
452,18.5584,TRUE,NA,,4,3,44.99,NA,,,,0,R,26.994,,,Headlights - Weatherproof,Rugged weatherproof headlight.,7/1/2002 00:00,6/30/2003 00:00,,Headlights - Weatherproof,Lights,Accessories
553,20.464,TRUE,NA,,500,375,46.09,NA,,,,1,T,27.654,L,,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,7/1/2003 00:00,,Current,LL Touring Handlebars,Handlebars,Components
226,31.7244,TRUE,Multi,,4,3,48.0673,S,S,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2001 00:00,6/30/2002 00:00,,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
227,29.0807,TRUE,Multi,,4,3,48.0673,S,S,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2002 00:00,6/30/2003 00:00,,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
229,31.7244,TRUE,Multi,,4,3,48.0673,M,M,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2001 00:00,6/30/2002 00:00,,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
230,29.0807,TRUE,Multi,,4,3,48.0673,M,M,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2002 00:00,6/30/2003 00:00,,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
232,31.7244,TRUE,Multi,,4,3,48.0673,L,L,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2001 00:00,6/30/2002 00:00,,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
233,29.0807,TRUE,Multi,,4,3,48.0673,L,L,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2002 00:00,6/30/2003 00:00,,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
235,31.7244,TRUE,Multi,,4,3,48.0673,XL,XL,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2001 00:00,6/30/2002 00:00,,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
236,29.0807,TRUE,Multi,,4,3,48.0673,XL,XL,,,0,S,28.8404,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2002 00:00,6/30/2003 00:00,,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
228,38.4923,TRUE,Multi,,4,3,49.99,S,S,,,0,S,29.994,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2003 00:00,,Current,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
231,38.4923,TRUE,Multi,,4,3,49.99,M,M,,,0,S,29.994,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2003 00:00,,Current,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
234,38.4923,TRUE,Multi,,4,3,49.99,L,L,,,0,S,29.994,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2003 00:00,,Current,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
237,38.4923,TRUE,Multi,,4,3,49.99,XL,XL,,,0,S,29.994,,U,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,7/1/2003 00:00,,Current,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
517,23.3722,TRUE,NA,,500,375,52.64,NA,,,,1,M,31.584,H,,HL Mountain Seat/Saddle 2,Anatomic design for a full-day of riding in comfort. Durable leather.,7/1/2003 00:00,,Current,HL Mountain Seat/Saddle,Saddles,Components
520,23.3722,TRUE,NA,,500,375,52.64,NA,,,,1,R,31.584,H,,HL Road Seat/Saddle 2,Lightweight kevlar racing saddle. Leather.,7/1/2003 00:00,,Current,HL Road Seat/Saddle,Saddles,Components
523,23.3722,TRUE,NA,,500,375,52.64,NA,,,,1,T,31.584,H,,HL Touring Seat/Saddle,Cut-out shell for a more comfortable ride.,7/1/2003 00:00,,Current,HL Touring Seat/Saddle,Saddles,Components
488,41.5723,TRUE,Yellow,,4,3,53.99,S,S,,,0,S,32.394,,U,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/1/2003 00:00,,Current,"Short-Sleeve Classic Jersey, S",Jerseys,Clothing
