ProductID,ProductName,SupplierID,Category,Price,CreationDate,LastUpdated
484,alcatel Fierce 4,299,alcatel,$28965.40,2/21/2023,5/21/2024
344,Apple iPhone XS Max,653,Apple,$69197.14,9/1/2023,11/18/2024
417,Samsung Galaxy A7 Duos,296,Samsung,$23090.15,5/29/2023,1/25/2024
262,HTC One A9,882,HTC,$49391.62,10/3/2023,6/25/2024
248,Huawei U3300,769,Huawei,$27589.15,3/16/2023,4/7/2024
386,vivo iQOO Z1x,586,vivo,$44764.41,4/8/2023,3/25/2024
530,Xiaomi Redmi 5,346,Xiaomi,$18681.95,8/11/2023,1/10/2024
554,Microsoft Surface Duo,531,Microsoft,$31563.24,9/9/2023,7/24/2024
352,Sagem my200C,419,Sagem,$16741.34,1/21/2023,6/13/2024
293,Xiaomi Mi A2 (Mi 6X),835,Xiaomi,$67321.65,4/7/2023,9/6/2024
331,alcatel OT Easy db,626,alcatel,$32190.44,1/7/2023,11/17/2024
526,Intex Aqua Ace,80,Intex,$39169.11,6/12/2023,4/27/2024
424,Gionee A1 Plus,437,Gionee,$33627.91,2/19/2023,8/4/2024
327,BLU Energy X LTE,140,BLU,$22766.56,5/17/2023,9/2/2024
385,alcatel OT 715,525,alcatel,$24177.49,10/5/2023,6/10/2024
497,Sony Ericsson C905,860,Sony,$65421.48,4/6/2023,6/29/2024
537,Micromax Canvas Unite 4,774,Micromax,$52414.58,4/19/2023,4/18/2024
325,Lenovo Tab 7 Essential,509,Lenovo,$15799.53,5/2/2023,11/27/2024
535,Archos 40 Titanium,411,Archos,$51512.41,1/23/2023,7/30/2024
398,Apple iPhone 6 Plus,466,Apple,$64472.18,1/11/2023,7/11/2024
413,Orange Tahiti,230,Orange,$21830.62,2/21/2023,4/1/2024
553,Philips Xenium K700,926,Philips,$64439.08,2/12/2023,3/6/2024
348,Motorola Talkabout T2288,448,Motorola,$64239.56,5/28/2023,3/29/2024
409,Sony Xperia ZR,768,Sony,$26739.47,6/17/2023,8/3/2024
294,HTC Desire 828 dual sim,849,HTC,$55389.15,8/26/2023,7/7/2024
384,Samsung Galaxy M11,315,Samsung,$10956.87,10/6/2023,7/16/2024
591,LG Q52,881,LG,$59596.71,8/28/2023,6/7/2024
271,LG K5,395,LG,$60437.34,8/12/2023,4/2/2024
531,Samsung D820,603,Samsung,$15616.73,6/23/2023,10/15/2024
406,Xiaomi Redmi 5 Plus (Redmi Note 5),479,Xiaomi,$46342.47,9/16/2023,9/26/2024
251,alcatel A7 XL,220,alcatel,$39024.05,8/10/2023,9/29/2024
322,Lenovo Z5s,729,Lenovo,$12912.23,8/30/2023,5/5/2024
201,alcatel OT-E801,682,alcatel,$39352.03,4/4/2023,10/23/2024
293,Nokia 5210,970,Nokia,$20497.80,2/4/2023,2/11/2024
299,Gionee M30,813,Gionee,$35956.14,6/5/2023,1/1/2024
461,Samsung Galaxy J2 Prime,278,Samsung,$52180.06,6/25/2023,2/28/2024
349,ZTE PF200,787,ZTE,$44054.10,2/14/2023,10/15/2024
586,BLU Studio 5.3 II,669,BLU,$17260.57,9/23/2023,3/18/2024
201,Huawei Ascend G600,352,Huawei,$46030.18,8/16/2023,12/24/2024
513,Samsung Galaxy J2 Core,424,Samsung,$39776.39,4/24/2023,2/25/2024
